order_id,customer_id,order_date,status,total_amount,shipping_address
57,36,2024-12-08 12:57:25,Delivered,1544.33,"House 19, PECHS Block 6, Karachi"
58,45,2024-03-24 01:18:45,Delivered,4311.63,"Flat 3B, Gulshan-e-Iqbal Block 13, Karachi"
59,45,2024-10-03 06:12:52,Delivered,4184.64,"Plot 14, Clifton Block 5, Karachi"
60,35,2023-10-19 03:39:47,Delivered,4222.05,"House 5, Johar Town, Lahore"
61,31,2024-11-25 07:40:14,Delivered,1356.2,"House 12, Street 4, F-7/1, Islamabad"
62,13,2023-09-11 21:49:08,Delivered,2065.2,"House 12, Street 4, F-7/1, Islamabad"
63,71,2025-03-30 15:30:41,Processing,4408.33,"Shop 7, Saddar Bazar, Rawalpindi"
64,37,2023-08-31 20:36:14,Delivered,1682.85,"Plot 14, Clifton Block 5, Karachi"
65,5,2023-11-28 01:53:25,Processing,4139.9,"Flat 5, Al-Habib Plaza, Multan"
66,64,2024-03-23 01:00:19,Delivered,1123.19,"House 5, Johar Town, Lahore"
67,78,2024-03-18 14:41:34,Cancelled,795.3,"Plot 14, Clifton Block 5, Karachi"
68,64,2024-10-29 14:17:12,Processing,4040.43,"Flat 5, Al-Habib Plaza, Multan"
69,15,2025-03-25 08:45:11,Delivered,1722.34,"House 12, Street 4, F-7/1, Islamabad"
70,44,2023-12-15 05:39:54,Delivered,3631.69,"22-B, Satellite Town, Rawalpindi"
71,52,2023-08-28 12:42:06,Delivered,3782.01,"45-C, Model Town, Lahore"
72,18,2023-06-07 08:24:15,Cancelled,2331.43,"House 33, Hayatabad Phase 3, Peshawar"
73,35,2025-01-07 00:16:41,Shipped,4309.24,"Street 9, G-11/2, Islamabad"
74,31,2024-04-10 05:25:43,Processing,607.82,"Plot 14, Clifton Block 5, Karachi"
75,40,2024-03-29 11:39:14,Delivered,3214.71,"Shop 7, Saddar Bazar, Rawalpindi"
76,18,2025-02-10 11:26:44,Delivered,2334.45,"Plot 14, Clifton Block 5, Karachi"
77,61,2024-01-10 07:43:48,Delivered,3493.0,"House 5, Johar Town, Lahore"
78,11,2024-06-05 02:58:36,Delivered,2530.85,"Flat 3B, Gulshan-e-Iqbal Block 13, Karachi"
79,8,2023-12-25 18:34:09,Cancelled,3789.41,"45-C, Model Town, Lahore"
80,42,2025-04-27 06:45:37,Shipped,3896.12,"House 33, Hayatabad Phase 3, Peshawar"
